scenario,algorithm,metric_name,mean,std,min,max,replications
limited_resources,cpsat,total_clinical_impact,64342.675,8249.3385,49904.3,77791.0,10
limited_resources,cpsat,average_resource_utilization,0.3293,0.0117,0.3126,0.3485,10
limited_resources,cpsat,total_doctor_round_time,80.53,1.6823,77.1,82.6,10
limited_resources,cpsat,number_of_doctor_rounds,30.7,0.4583,30.0,31.0,10
limited_resources,cpsat,average_doctor_round_duration,2.624,0.0781,2.4871,2.7533,10
limited_resources,cpsat,total_planning_overhead_time,46.05,0.6874,45.0,46.5,10
limited_resources,simulated_annealing,treated_patients,13.4,0.6633,12.0,14.0,10
limited_resources,simulated_annealing,untreated_patients,4.6,0.6633,4.0,6.0,10
limited_resources,simulated_annealing,number_of_initial_assessments,18.0,0.0,18.0,18.0,10
limited_resources,simulated_annealing,services_started_from_arrival,2.1,0.3,2.0,3.0,10
limited_resources,simulated_annealing,services_started_from_service_end,11.3,0.781,10.0,12.0,10
limited_resources,simulated_annealing,services_started_from_deterioration,0.0,0.0,0.0,0.0,10
limited_resources,simulated_annealing,services_started_from_doctor_round,0.0,0.0,0.0,0.0,10
limited_resources,simulated_annealing,average_time_to_initial_assessment,0.0,0.0,0.0,0.0,10
limited_resources,simulated_annealing,average_time_to_service_start,120.263,13.6228,93.14,140.25,10
limited_resources,simulated_annealing,patients_deteriorated_while_waiting,15.7,0.4583,15.0,16.0,10
limited_resources,simulated_annealing,critical_patients_waited,1.4,1.0198,0.0,3.0,10
limited_resources,simulated_annealing,critical_patients_started_immediately,0.3,0.4583,0.0,1.0,10
limited_resources,simulated_annealing,average_waiting_time,120.263,13.6228,93.14,140.25,10
limited_resources,simulated_annealing,max_waiting_time,284.6,29.5337,232.0,343.0,10
limited_resources,simulated_annealing,critical_late_patients,7.6,2.9052,2.0,12.0,10
limited_resources,simulated_annealing,total_clinical_impact,62168.445,8428.371,47962.1,75926.0,10
limited_resources,simulated_annealing,average_resource_utilization,0.3277,0.0103,0.3081,0.3413,10
limited_resources,simulated_annealing,total_doctor_round_time,79.75,1.8543,76.2,82.2,10
limited_resources,simulated_annealing,number_of_doctor_rounds,30.7,0.4583,30.0,31.0,10
limited_resources,simulated_annealing,average_doctor_round_duration,2.5987,0.0844,2.4581,2.74,10
limited_resources,simulated_annealing,total_planning_overhead_time,46.05,0.6874,45.0,46.5,10
